Master ID,Category,Input Name,Consolidated Description,Why It Matters,Primary Sections,Representative Frameworks,Likely Public Sources,Example Search Angles,Priority,Merged From
65,"Buying Process, Budget & Pricing",Typical buying cycle length by segment,"Public benchmarks for time-to-close, procurement duration, or evaluation cycle length.",Central to buying-process analysis and realistic adoption timing.,S4-A (Q19); S1-B (Q6); S4-C (Q25),"S4-A1, S4-A4, S1-B5, S4-C5","Procurement benchmarks, analyst research, vendor sales reports","""average sales cycle [Industry]"", ""how long to sell [Product]""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
66,"Buying Process, Budget & Pricing",DMU size and role composition,How many people are typically involved in a buying decision and which roles recur.,Helps model decision complexity and approval friction.,S4-A (Q19),"S4-A2, S4-A3","Procurement studies, buyer surveys, case studies","""DMU size in [industry] purchase"", ""stakeholders in [product] buying decision""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
67,"Buying Process, Budget & Pricing",Typical initiator or champion titles,The roles that usually identify the problem and start the buying motion.,Needed to distinguish who creates momentum from who approves spend.,S4-A (Q19); S1-C (Q8),"S4-A2, S1-C4","Buyer guides, case studies, webinar attendee profiles","""champion for [product] purchase"", ""who initiates [category] buying""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
68,"Buying Process, Budget & Pricing",Typical evaluator or blocker titles,"The roles that most often evaluate compliance, security, legal, or technical fit and can stop the deal.",Central to path-to-purchase stress testing.,S4-A (Q19); S6-B (Q31),"S4-A2, S4-A4, S6-B6","Procurement docs, implementation case studies, security reviews","""security legal blockers in [product] procurement"", ""who blocks [category] deals""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
69,"Buying Process, Budget & Pricing",Budget-holder and executive-approver titles,The titles or functions that usually own budget and give final sign-off.,Supports budget-owner mapping and approval-path analysis.,S4-A (Q19-Q20),"S4-A2, S4-A6, S4-A7","RFPs, buying guides, public org charts, case studies","""whose budget pays for [Product]"", ""[Industry] budget ownership""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
70,"Buying Process, Budget & Pricing",Approval chain stages and common failure points,"The formal and informal review steps, where they tend to stall, and why.",Turns abstract buying cycles into actual go/no-go mechanics.,S4-A (Q19-Q20); S6-B (Q31),"S4-A1, S4-A4, S4-A7, S6-B7","Procurement benchmarks, implementation playbooks, buyer interviews summarized publicly","""procurement stages for [product]"", ""where [category] deals stall""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
71,"Buying Process, Budget & Pricing",Budget structure norms,"Whether spend usually lands as OPEX or CAPEX, centralized or distributed, recurring or project-based.",Needed to assess budget fit and commercialization realism.,S4-A (Q20); S4-B (Q21-Q23),"S4-A5, S4-A8, S4-B2","Procurement studies, finance guidance, case studies","""OPEX vs CAPEX for [product]"", ""budget structure for [category]""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
72,"Buying Process, Budget & Pricing",Budget ownership norms by function,Which departments or leaders typically control the relevant spend category.,Supports DMU mapping and budget-owner logic.,S4-A (Q20); S1-C (Q8),"S4-A6, S4-A7, S1-C4","Buying guides, case studies, analyst research","""which department owns [category] budget"", ""budget ownership [industry]""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
73,"Buying Process, Budget & Pricing","ACV, ARPA, or spend benchmarks by segment","Public benchmarks for spend per account, contract value, or recurring revenue by segment.",Core input for commercial sizing and pricing-fit analysis.,S4-B (Q21); S1-A (Q2); S1-B (Q7),"S4-B1, S4-B4, S1-A6, S1-B9","Benchmark studies, investor decks, pricing pages, filings","""average deal size [Industry]"", ""ACV benchmarks [Industry]""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
74,"Buying Process, Budget & Pricing",Budget-range or line-item benchmarks,Public evidence for the budget bands or line items from which similar purchases are funded.,Needed to test whether expected pricing fits real spending behavior.,S4-B (Q21-Q23); S4-A (Q20),"S4-B2, S4-B4, S4-A5","Procurement studies, budgeting guides, case studies","""budget range for [category] spend"", ""line item budget [product]""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
75,"Buying Process, Budget & Pricing",Dominant jobs-to-be-done or use cases by segment,The use cases that most commonly drive evaluation and spend in each priority segment.,Anchors demand analysis on concrete workflows rather than broad category claims.,S4-B (Q22); S1-C (Q8-Q9),"S4-B5, S4-B6, S4-B8","Review sites, analyst reports, case studies, conference talks","""jobs to be done [Product]"", ""why customers hire [Product]""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
76,"Buying Process, Budget & Pricing",Core versus nice-to-have use case split,Which use cases appear mission-critical versus discretionary or marginal.,Needed to assess budget resilience and prioritization.,S4-B (Q22); S2-B (Q14),"S4-B5, S4-B7, S2-B3","Buyer studies, review text, use-case benchmarks","""must have vs nice to have [category] use cases""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
77,"Buying Process, Budget & Pricing",Pain frequency and ROI evidence by use case,Public evidence for how often the problem occurs and what value a fix creates.,"Supports use-case prioritization, spend logic, and price-to-value analysis.",S4-B (Q22-Q23); S3-A (Q16),"S4-B7, S4-B8, S3-A7","Case studies, benchmarking reports, implementation writeups","""ROI of [use case] in [industry]"", ""frequency of [pain point]""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
78,"Buying Process, Budget & Pricing",Pricing models and reference price anchors,The dominant pricing models and public price points buyers already see in the category.,Shapes willingness-to-pay expectations and commercial fit.,S4-B (Q23); S1-A (Q2),"S4-B9, S4-B10, S4-B11, S1-A6","Pricing pages, review sites, public quotes, analyst notes","""[Competitor Name] pricing"", ""[Industry] pricing models comparison""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
79,Adoption & Expansion Dynamics,Adoption-stage markers for analogous solutions,"Observable signs that the market is early, mainstream, or late in adopting similar solutions.",Required to label adoption maturity credibly.,S4-C (Q24); S2-A (Q13),"S4-C1, S4-C2, S2-A8","Adoption studies, case studies, analyst maturity models","""adoption stage of [category]"", ""market maturity indicators [industry]""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
80,Adoption & Expansion Dynamics,Segment-by-segment adoption maturity differences,"Whether adoption stage varies materially by geography, company size, or vertical.",Prevents false market-wide maturity labels.,S4-C (Q24); S1-C (Q9),"S4-C3, S1-C7","Segment studies, case studies, analyst reports","""[category] adoption by segment"", ""maturity by vertical [industry]""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
81,Adoption & Expansion Dynamics,Adoption friction versus familiarity indicators,"Evidence showing whether buyers are already familiar with the category or still need education, trust-building, and process change.",Helps judge adoption difficulty and expansion speed.,S4-C (Q24-Q25); S6-B (Q31),"S4-C4, S6-B5","Buyer surveys, review text, sales commentary, case studies","""buyer familiarity with [category]"", ""education required for [industry] solution""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
82,Adoption & Expansion Dynamics,Typical adoption path patterns,"Public evidence for whether comparable solutions spread via land-and-expand, team-level bottoms-up adoption, or single centralized purchases.",Needed to test whether the proposed motion matches market behavior.,S4-C (Q25); S4-A (Q19),"S4-C5, S4-C6, S4-C7","Case studies, vendor growth stories, analyst commentary","""land and expand in [category]"", ""adoption path for [industry] software""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
83,Adoption & Expansion Dynamics,Buying-behavior compatibility with expansion,Evidence on whether the market's buying norms support expansion after initial entry or force one-shot decisions.,A key check on expansion logic and path fit.,S4-C (Q25); S4-A (Q19),"S4-C5, S4-C7, S4-A3","Procurement studies, enterprise adoption case studies, analyst notes","""does [industry] support expansion sales"", ""upsell compatibility [category]""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
84,Adoption & Expansion Dynamics,Path dependencies that block expansion,"Dependencies such as integrations, approvals, architecture choices, or procurement resets that can stall expansion.",Needed to stress-test land-and-expand assumptions.,S4-C (Q25); S6-B (Q30-Q31),"S4-C8, S6-B4, S6-B7","Integration docs, buyer case studies, platform rules, procurement guidance","""path dependencies blocking expansion in [industry]""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
85,Regulation & Platform Shifts,Named regulatory regimes affecting the market,"The specific laws, standards, or regulatory domains that materially shape the category.",Provides the baseline map for all policy analysis.,S5-A (Q26-Q27); S6-A (Q28),"S5-A1, S5-A5, S6-A2","Regulators, standards bodies, legal summaries, compliance portals","""key regulations for [Industry]"", ""[Industry] compliance requirements""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
86,Regulation & Platform Shifts,Named platform policies or rule changes affecting the market,"Public platform-level rules that shape access, economics, integration, or distribution.",Separates platform dynamics from classic regulation.,S5-A (Q26); S6-B (Q30),"S5-A1, S5-A3, S6-B1","Platform policy pages, developer docs, partner terms","""platform rule changes affecting [industry]"", ""marketplace policy update [platform]""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
87,Regulation & Platform Shifts,Regulatory shifts with enacting body and effective date,"Specific policy changes, who enacted them, when they took effect, and in which jurisdiction.",Core input to the policy-shift ledger.,S5-A (Q27),"S5-A4, S5-A5, S5-A8","Regulators, legislatures, legal trackers, government notices","""pending legislation [Industry]"", ""upcoming regulations [Industry]""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
88,Regulation & Platform Shifts,Platform changes with owner and effective date,"Specific platform rule or program changes, who controls them, and when they changed.",Needed to trace timing and exposure to platform dynamics.,S5-A (Q26-Q27); S6-B (Q30),"S5-A3, S5-A4, S6-B1","Platform changelogs, partner announcements, developer blogs","""platform policy effective date [platform] [industry]""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
89,Regulation & Platform Shifts,Demand-side effects of policy or platform shifts,"Evidence showing which shifts create, accelerate, suppress, or redirect customer demand.",Distinguishes demand effects from access effects in the final analysis.,S5-A (Q26-Q27); S2-A (Q12-Q13),"S5-A2, S5-A6, S5-A7, S2-A2","Policy analysis, market reports, case studies","""how regulation changes demand in [industry]"", ""demand effect of [policy]""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
90,Regulation & Platform Shifts,Access-side effects of policy or platform shifts,"Evidence showing which shifts open or close market access, raise compliance burden, or alter reachability.",Critical for serviceability and entry-attractiveness judgments.,S5-A (Q26-Q27); S1-B (Q5); S6-A (Q28),"S5-A2, S5-A7, S5-A8, S1-B4","Regulators, platform docs, compliance analyses, legal commentary","""how regulation changes market access in [industry]"", ""compliance barrier [industry]""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
91,"Barriers, Saturation & Ecosystem Power",Capital barriers to entry,"Public evidence on upfront investment, minimum viable scale, or capital intensity required to compete.",Core part of entry-attractiveness analysis.,S6-A (Q28),"S6-A1, S6-A2, S6-A3","Filings, analyst reports, startup case studies, capex benchmarks","""capital requirements to enter [industry]"", ""startup cost for [industry] entrant""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
92,"Barriers, Saturation & Ecosystem Power",Regulatory barriers to entry,"Public evidence on licensing, approvals, certification, or legal hurdles that entrants must clear.",Often the difference between feasible entry and impractical entry.,S6-A (Q28); S5-A (Q26-Q27),"S6-A2, S6-A3, S5-A5","Regulators, licensing guides, legal analyses","""regulatory barriers to entry in [industry]""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
93,"Barriers, Saturation & Ecosystem Power","Technology, IP, data, or network-effect barriers","The technical assets, data scale, IP base, or network thresholds that favor incumbents.",Needed to assess whether new entrants face structural disadvantage.,S6-A (Q28); S6-B (Q30),"S6-A2, S6-A4, S6-B2","Patent databases, platform docs, filings, analyst commentary","""IP barriers in [industry]"", ""network effects in [industry]""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
94,"Barriers, Saturation & Ecosystem Power",Distribution and switching-cost barriers,"Evidence on channel lock-in, partner control, customer retraining, integration burden, or contract stickiness.",A major determinant of how hard it is to win share from incumbents.,S6-A (Q28); S1-B (Q6); S4-A (Q19),"S6-A2, S6-A3, S1-B6, S4-A4","Channel contracts summarized publicly, case studies, procurement commentary","""switching costs in [industry]"", ""channel access barriers [industry]""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
95,"Barriers, Saturation & Ecosystem Power","Brand, reputation, or trust barriers","Public evidence that buyers require known brands, references, certifications, or reputational proof before purchase.",Important in markets where credibility determines access.,S6-A (Q28); S4-A (Q19),"S6-A2, S6-A4, S4-A2","Buyer studies, RFP criteria, security reviews, case studies","""trust barrier in [industry]"", ""brand loyalty in [industry]""",High,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
96,"Barriers, Saturation & Ecosystem Power",Solution density and vendor saturation by segment,"How many vendors meaningfully serve each segment, and whether density varies across the market.",Needed to assess whether the market is crowded everywhere or only in certain pockets.,S6-A (Q29); S1-C (Q9-Q10),"S6-A5, S6-A6, S1-C5","Vendor directories, review sites, analyst landscapes","""vendor saturation in [industry] by segment"", ""number of vendors in [segment]""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
97,"Barriers, Saturation & Ecosystem Power",Feature coverage versus buyer-need gaps,"Public evidence showing where current solutions over-serve, under-serve, or miss important needs.",Supports the distinction between crowded and actually well-served.,S6-A (Q29); S3-A (Q16),"S6-A7, S6-A8, S3-A6","Review text, comparison grids, analyst gap analyses","""feature gaps in [industry] solutions"", ""customer unmet needs [industry]""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
98,"Barriers, Saturation & Ecosystem Power",Ecosystem dependency map,"The platforms, partners, integrators, data providers, or standards bodies the market depends on.",Foundational for ecosystem risk and entry feasibility analysis.,S6-B (Q30); S3-A (Q15),"S6-B1, S6-B3, S3-A2","Partner ecosystems, integration docs, standards maps, industry reports","""ecosystem dependencies in [industry]"", ""required partners for [industry]""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
99,"Barriers, Saturation & Ecosystem Power",Gatekeeper power indicators,"Evidence showing which ecosystem players can materially enable, delay, or block market entry and adoption.",Distinguishes collaborators from real gatekeepers.,S6-B (Q30); S3-A (Q15); S5-A (Q26),"S6-B2, S6-B4, S3-A3, S5-A3","Platform rules, channel studies, filings, partner terms","""gatekeeper power in [industry]"", ""platform leverage over [industry] vendors""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
100,"Barriers, Saturation & Ecosystem Power",User-side and buyer-side adoption barriers by stage,"Public evidence separating end-user friction from buyer friction across awareness, evaluation, purchase, onboarding, and expansion stages, including severity and removability.",Required for a realistic adoption-barrier stack and final entry-readiness judgment.,S6-B (Q31); S4-C (Q24-Q25); S4-A (Q19),"S6-B5, S6-B6, S6-B7, S6-B8, S4-C4","Buyer surveys, review sites, case studies, implementation reports","""buyer adoption barriers in [industry]"", ""user resistance to [product]""",Critical,fact-list-gpt.md (+ synthesized search-angle enrichment from input-list.md and cross-check with market-research-input-inventory.md)
101,Market Definition & Sizing,Pricing trend / ASP trajectory,"Average selling price trend in the category over time, including whether pricing is rising, falling, or compressing by segment.","Helps distinguish growth from volume expansion versus price expansion, and surfaces commoditization risk.",S1-A (Q1-Q2); S4-B (Q23); S2-B (Q14),"S1-A6, S4-B9, S2-B1","Pricing pages, analyst reports, public quotes, procurement benchmarks","""[Industry] pricing trends"", ""average price [Product] history""",Medium,input-list.md
102,"Buying Process, Budget & Pricing",Replacement cycle / refresh cadence,"Typical time before customers replace, renew, or materially upgrade the incumbent solution.","Useful for timing SOM capture, forecasting switching windows, and testing how often budget reopens.",S1-B (Q6); S4-C (Q25); S6-B (Q31),"S1-B6, S4-C5, S6-B7","Analyst reports, customer case studies, implementation guides","""average lifespan of [Product]"", ""[Industry] replacement cycle""",Medium,input-list.md
103,Competition & Channels,Review-site sentiment and recurring complaints,"Common strengths, weaknesses, complaints, and delight points visible in G2, Capterra, app stores, forums, and review aggregators.",Adds first-order market voice data and sharpens whitespace claims beyond vendor messaging.,S3-A (Q16); S3-B (Q17); S4-B (Q22),"S3-A7, S3-B2, S4-B7","G2, Capterra, Reddit, app marketplaces, forums","""[Competitor] reviews G2"", ""[Competitor] complaints""",High,input-list.md
104,Competition & Channels,Competitor geographic footprint,Where major competitors are strongest or weakest by region or country.,Improves geo-level SAM filtering and shows where local incumbency may matter.,S1-A (Q3); S3-B (Q17); S6-A (Q29),"S1-A2, S3-B3, S6-A5","Vendor sites, filings, partner maps, analyst reports","""[Competitor] geographic presence"", ""[Industry] leaders in Europe""",Medium,input-list.md
105,Competition & Channels,Competitor partnerships and ecosystem integrations,"Key technology, channel, OEM, reseller, data, and services partners attached to major competitors.","Shows ecosystem strength, route-to-market leverage, and dependency risk.",S3-B (Q17-Q18); S6-B (Q30),"S3-B5, S6-B1, S6-B2","Partner directories, integrations pages, cloud marketplaces, filings","""[Competitor] partners"", ""[Competitor] integrations""",Medium,input-list.md
106,Competition & Channels,"Litigation, IP dispute, or antitrust history","Material lawsuits, IP disputes, antitrust actions, or regulatory enforcement involving major vendors or the category.","Can reveal structural fragility, defensibility tactics, or impending category shifts.",S3-B (Q17); S5-A (Q26-Q27); S6-A (Q28),"S3-B4, S5-A4, S6-A3","Court records, trade press, regulatory sites, filings","""[Competitor] lawsuit"", ""[Industry] antitrust cases""",Low,input-list.md
107,Competition & Channels,Competitor acquisition history,"Acquisitions made by leading vendors, including which capabilities they bought and why.","Shows where the category is converging, where incumbents feel weak, and what whitespace gets filled via M&A.",S1-C (Q10-Q11); S3-B (Q17); S2-A (Q13),"S1-C9, S3-B4, S2-A5","Press releases, Crunchbase, filings, M&A databases","""[Competitor] acquisitions"", ""[Industry] M&A history""",Medium,input-list.md
108,"Buying Process, Budget & Pricing",Churn benchmarks,Typical logo churn or revenue churn for vendors in the category.,Useful for judging category stickiness and whether retention is structurally strong or weak.,S4-C (Q25); S6-A (Q28-Q29),"S4-C6, S6-A6","Public SaaS benchmarks, filings, investor decks","""average churn rate [Industry]"", ""retention benchmarks [Industry]""",Low,input-list.md
109,"Buying Process, Budget & Pricing",CAC benchmarks,Typical customer acquisition cost or payback benchmarks in the category.,Helps stress-test commercial efficiency and whether the market can support expensive sales motions.,S1-B (Q6); S4-B (Q21); S6-A (Q28),"S1-B5, S4-B4, S6-A1","Benchmark reports, investor decks, analyst commentary","""CAC benchmarks [Industry]"", ""cost of acquisition [Industry]""",Low,input-list.md
110,"Buying Process, Budget & Pricing",LTV benchmarks,Typical lifetime value benchmarks or implied value from retention and expansion patterns.,Supports price-to-value interpretation and category attractiveness.,S4-B (Q21); S4-C (Q25),"S4-B4, S4-C7","Benchmark reports, public comps, investor decks","""LTV benchmarks [Industry]"", ""customer lifetime value [Industry]""",Low,input-list.md
111,"Buying Process, Budget & Pricing",Preferred purchase channels by buyer type,"Where buyers prefer to purchase: direct, partner, marketplace, reseller, distributor, or self-serve.",Adds buyer-side channel preference to the supply-side route map.,S3-B (Q18); S4-A (Q19); S1-C (Q9),"S3-B5, S4-A1, S1-C4","Buyer studies, analyst reports, vendor disclosures","""preferred buying channels [Industry]"", ""B2B marketplace adoption [Industry]""",Medium,input-list.md
112,"Buying Process, Budget & Pricing",Seasonality of buying,"Periods when evaluations, purchases, or renewals cluster during the year.","Helps timing assumptions for pipeline, pilots, and budget access.",S4-A (Q20); S4-C (Q25),"S4-A5, S4-C5","Procurement commentary, earnings calls, analyst notes","""seasonality in [Industry] sales"", ""best time to sell [Product]""",Low,input-list.md
113,"Buying Process, Budget & Pricing",Top purchase criteria,"The ranked criteria buyers use to compare vendors, such as price, security, integration depth, compliance, support, or ease of use.",Sharpens competitive positioning and helps identify table stakes versus real differentiators.,S4-A (Q19); S4-B (Q22-Q23); S6-A (Q29),"S4-A3, S4-B10, S6-A7","Buyer surveys, RFPs, review sites, analyst reports","""top purchase criteria for [Product]"", ""why buyers choose [Competitor]""",High,input-list.md
114,"Buying Process, Budget & Pricing",NPS or customer satisfaction benchmarks,Typical NPS or comparable satisfaction measures in the category.,Acts as a weak but useful signal for category satisfaction and whitespace opportunity.,S3-A (Q16); S4-C (Q24-Q25),"S3-A6, S4-C4","Benchmark studies, public vendor surveys, analyst notes","""NPS benchmarks [Industry]"", ""average NPS for SaaS""",Low,input-list.md
115,"Buying Process, Budget & Pricing",Common objections and lost-deal reasons,"The recurring reasons buyers say no, stall, or choose alternatives.",Improves adoption-barrier and commercialization realism.,S4-A (Q19-Q20); S6-B (Q31),"S4-A4, S6-B7","Sales enablement blogs, case studies, buyer surveys, review text","""common sales objections [Product]"", ""why deals are lost [Industry]""",High,input-list.md
116,Value Chain & Whitespace,Key suppliers,"Dominant suppliers of critical components, data, inputs, or enabling services upstream of the category.","Important where supplier concentration can shape margin, access, and resilience.",S3-A (Q15); S6-B (Q30),"S3-A2, S6-B2","Industry maps, filings, supplier directories, trade bodies","""top suppliers for [Industry]"", ""key component manufacturers [Industry]""",Medium,input-list.md
117,Value Chain & Whitespace,Distributor / reseller margin norms,"Typical markups or commission structures for distributors, VARs, and channel partners.",Adds commercial realism to channel attractiveness and partner economics.,S3-B (Q18); S4-B (Q21),"S3-B6, S4-B2","Channel studies, distributor programs, analyst commentary","""distributor margins [Industry]"", ""reseller commissions [Industry]""",Medium,input-list.md
118,Value Chain & Whitespace,Gross margin benchmarks,Typical gross margins achieved by comparable companies in the category.,Helps locate where value accrues and whether economics are structurally attractive.,S3-A (Q15-Q16); S6-A (Q28),"S3-A8, S6-A1","Filings, investor decks, public comps","""average gross margin [Industry]"", ""SaaS gross margin benchmarks""",Medium,input-list.md
119,Value Chain & Whitespace,Operating margin benchmarks,Typical operating margin range for mature or scaled companies in the category.,"Useful for testing long-run market attractiveness, not just revenue growth.",S3-A (Q15-Q16); S6-A (Q28),"S3-A8, S6-A1","Filings, public comps, analyst reports","""average operating margin [Industry]"", ""profitability of [Industry] companies""",Low,input-list.md
120,Value Chain & Whitespace,Cost structure benchmarks,"Typical mix of R&D, sales and marketing, services, G&A, and infrastructure costs.",Helps interpret why some stages or business models are structurally advantaged.,S3-A (Q15-Q16); S6-A (Q28),"S3-A8, S6-A1","Filings, investor decks, benchmark studies","""cost structure [Industry]"", ""expense breakdown [Industry] companies""",Low,input-list.md
121,Value Chain & Whitespace,Supplier power indicators,"Evidence that upstream suppliers have leverage via concentration, scarcity, switching friction, or standards control.",Completes the power-map inside the value chain.,S3-A (Q15); S6-B (Q30),"S3-A3, S6-B2","Porter analyses, filings, analyst reports, industry maps","""supplier power in [Industry]"", ""Porter's 5 forces [Industry]""",Medium,input-list.md
122,Segments & Concentration,Buyer power indicators,"Evidence that buyers have leverage via concentration, procurement sophistication, or volume-based negotiating power.","Useful for margin, pricing, and concentration analysis.",S1-C (Q11); S3-A (Q15); S6-A (Q29),"S1-C13, S3-A3, S6-A6","Procurement studies, spend concentration data, analyst reports","""buyer power in [Industry]"", ""negotiating power of [Customer]""",Medium,input-list.md
123,Value Chain & Whitespace,"Intermediary role of brokers, aggregators, and marketplaces","How brokers, marketplaces, and other intermediaries create, capture, or tax value in the category.",Helps distinguish direct markets from intermediation-heavy ones.,S3-A (Q15); S3-B (Q18); S6-B (Q30),"S3-A2, S3-B5, S6-B2","Industry maps, marketplace docs, analyst reports","""role of intermediaries in [Industry]"", ""marketplaces in [Industry]""",Low,input-list.md
124,"Buying Process, Budget & Pricing",Payment terms and DSO norms,"Typical payment terms such as net-30, net-60, milestone billing, or annual prepay.",Relevant where cash conversion and working-capital dynamics matter.,S4-B (Q21); S3-B (Q18),"S4-B2, S3-B6","Procurement guides, contracts, filings, analyst commentary","""standard payment terms [Industry]"", ""DSO benchmarks [Industry]""",Low,input-list.md
125,Regulation & Platform Shifts,Key regulatory agencies and oversight bodies,"The regulators, standards bodies, or supervisory agencies that formally govern the category.",Improves regulatory sourcing discipline and jurisdiction mapping.,S5-A (Q26-Q27); S6-A (Q28),"S5-A1, S6-A2","Regulator websites, standards bodies, industry associations","""regulatory bodies for [Industry]"", ""who regulates [Industry]""",High,input-list.md
126,Regulation & Platform Shifts,Compliance cost benchmarks,Estimated direct and indirect cost to comply with major regulations or certification requirements.,"Helps translate regulation into economics, not just narrative.",S5-A (Q26-Q27); S1-B (Q5),"S5-A5, S1-B4","Consultant reports, legal memos, regulator guidance","""cost of compliance [Industry]"", ""GDPR compliance costs""",High,input-list.md
127,Regulation & Platform Shifts,Data privacy and cybersecurity requirements,"Specific data handling, residency, security, and privacy rules shaping category access and product design.","Critical in software, data, and regulated markets.",S5-A (Q26-Q27); S6-B (Q30),"S5-A2, S6-B1","Laws, regulator guidance, standards, compliance docs","""data privacy laws [Industry]"", ""cybersecurity regulations [Industry]""",High,input-list.md
128,Regulation & Platform Shifts,"Environmental, trade, and labor rule exposure","Environmental rules, tariffs/export controls, and labor-law constraints that materially affect the category.",Captures non-core but sometimes decisive policy risk.,S5-A (Q26-Q27); S2-A (Q13),"S5-A2, S2-A5","Government agencies, trade ministries, labor regulators, trade press","""environmental regulations [Industry]"", ""trade tariffs [Industry]"", ""labor laws affecting [Industry]""",Medium,input-list.md
129,Regulation & Platform Shifts,"Subsidies, grants, and public incentives","Government financial support, tax credits, or grants that create or accelerate demand.",Important where public policy actively creates the market.,S5-A (Q26-Q27); S2-A (Q13),"S5-A7, S2-A5","Government programs, grants databases, industry associations","""government grants for [Industry]"", ""subsidies for [Tech]""",Medium,input-list.md
130,"Barriers, Saturation & Ecosystem Power",Talent scarcity / skill bottlenecks,"Whether scarce talent materially slows supply, implementation, or customer adoption.",Can operate as both an entry barrier and a growth constraint.,S2-A (Q13); S6-A (Q28); S6-B (Q31),"S2-A6, S6-A2, S6-B6","Job postings, wage benchmarks, analyst reports, trade press","""talent shortage in [Industry]"", ""[Industry] labor market trends""",Medium,input-list.md
